,Prediction,kernel,degree,c_searchline,num_of_vectors,score
1,6,linear,,0.01,49,0.407526573
2,6,poly,5,0.01,53,0.03320231
3,6,rbf,5,0.01,52,0.002957406
4,6,sigmoid,5,0.01,52,0.05148353
5,6,linear,,0.1,45,0.662473047
6,6,poly,5,0.1,51,0.428184422
7,6,rbf,5,0.1,49,0.27447546
8,6,sigmoid,5,0.1,48,0.504655215
9,6,linear,,1,42,0.663266554
10,6,poly,5,1,47,0.639233706
11,6,rbf,5,1,50,0.876375124
12,6,sigmoid,5,1,49,0.24842013
13,6,linear,,10,43,0.662810589
14,6,poly,5,10,50,0.68284438
15,6,rbf,5,10,47,0.976744072
16,6,sigmoid,5,10,51,-32.88672768
17,6,linear,,100,43,0.662780164
18,6,poly,5,100,47,0.933874126
19,6,rbf,5,100,47,0.976744072
20,6,sigmoid,5,100,53,-3208.840733
21,7,linear,,0.01,50,0.088772621
22,7,poly,5,0.01,51,0.031230696
23,7,rbf,5,0.01,50,-0.051610065
24,7,sigmoid,5,0.01,50,-0.030440174
25,7,linear,,0.1,49,0.246926827
26,7,poly,5,0.1,49,0.486300697
27,7,rbf,5,0.1,52,0.082766429
28,7,sigmoid,5,0.1,49,0.110054295
29,7,linear,,1,49,0.301703974
30,7,poly,5,1,49,0.675426517
31,7,rbf,5,1,50,0.661559389
32,7,sigmoid,5,1,53,-0.265297963
33,7,linear,,10,49,0.301744481
34,7,poly,5,10,49,0.706916466
35,7,rbf,5,10,50,0.948938979
36,7,sigmoid,5,10,52,-41.17466351
37,7,linear,,100,49,0.301785474
38,7,poly,5,100,48,0.900374209
39,7,rbf,5,100,46,0.96046908
40,7,sigmoid,5,100,53,-3143.014454
41,8,linear,,0.01,49,0.271146773
42,8,poly,5,0.01,48,0.002913827
43,8,rbf,5,0.01,46,-0.041081234
44,8,sigmoid,5,0.01,46,0.008135645
45,8,linear,,0.1,48,0.535445524
46,8,poly,5,0.1,50,0.288885477
47,8,rbf,5,0.1,47,0.145337
48,8,sigmoid,5,0.1,49,0.338356099
49,8,linear,,1,45,0.581319755
50,8,poly,5,1,46,0.540449855
51,8,rbf,5,1,47,0.821032767
52,8,sigmoid,5,1,49,0.312884256
53,8,linear,,10,47,0.590369994
54,8,poly,5,10,47,0.766332838
55,8,rbf,5,10,50,0.977841141
56,8,sigmoid,5,10,53,-37.56823846
57,8,linear,,100,47,0.590338512
58,8,poly,5,100,47,0.965074475
59,8,rbf,5,100,50,0.977841141
60,8,sigmoid,5,100,52,-3906.740835
61,9,linear,,0.01,49,0.220937464
62,9,poly,5,0.01,46,0.019756916
63,9,rbf,5,0.01,45,-0.026496409
64,9,sigmoid,5,0.01,44,0.007146285
65,9,linear,,0.1,45,0.426184587
66,9,poly,5,0.1,47,0.266990083
67,9,rbf,5,0.1,46,0.14162449
68,9,sigmoid,5,0.1,50,0.276425206
69,9,linear,,1,48,0.443752149
70,9,poly,5,1,51,0.484677607
71,9,rbf,5,1,50,0.761308631
72,9,sigmoid,5,1,53,-0.019683392
73,9,linear,,10,48,0.443742625
74,9,poly,5,10,51,0.742841454
75,9,rbf,5,10,50,0.976710687
76,9,sigmoid,5,10,53,-38.89355831
77,9,linear,,100,48,0.443784088
78,9,poly,5,100,49,0.939935265
79,9,rbf,5,100,50,0.976710687
80,9,sigmoid,5,100,52,-3828.883807
